sample_id,episode,variation_id,score,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,mean_abs_dv,total_abs_dv,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
0,0,0,105.0223716349198,1,True,False,1.0,0,0.23849860804540587,0.0036013655347754553,5.704563007084321,-0.04052378742739694,0.10973062988713043,3.0,1.0
1,0,1,91.24947576307773,1,True,False,1.0,0,0.22548597548361846,0.006971425769061294,11.182166933574315,-0.03268460485850212,0.12501065696957026,4.75745804325698,1.3972138009695754
2,0,2,-23.760628927940985,-1,False,False,0.8375998695581282,0,0.3319296536863299,0.0018243845215587117,5.015233049764898,-0.0980300928515976,-0.051836188020339305,5.861912285554514,0.7252071899905919
3,0,3,86.27499520991714,1,True,False,1.0,0,0.26734729914638633,0.006110939882162028,10.052496106156536,-0.031313997243404015,0.11645588952158824,3.0321320190361893,1.373553445396262
4,0,4,72.57182726609308,1,True,False,1.0,0,0.320230979535451,0.006465560224731502,11.094901345639258,-0.03118858603703191,0.11283253959698851,2.0146519331537487,1.3212284183827663
5,0,5,127.6841120762995,1,True,False,1.0,0,0.12513482521355188,0.0037230199409534854,5.588252931371182,-0.07239917726580648,-0.015888992414883132,6.038285023122366,0.9679349528437208
6,0,6,107.15880406427222,1,True,False,1.0,0,0.2578349991726588,0.002308153193948433,3.672271731571957,-0.050732721835140784,0.035597363320250305,3.0442036050430343,0.7784256121007733
7,0,7,95.02519632843703,1,True,False,1.0,0,0.27054798176115585,0.004277692229858845,6.895639874532458,-0.04222412766824614,0.11612101879626678,2.847585529952321,0.9450763058826466
8,0,8,110.2133262830159,1,True,False,1.0,0,0.21566250033076356,0.003490112901939839,5.496927820555246,-0.04042155231626411,0.07361909298341122,4.025300582105635,1.0534973520744924
9,0,9,114.96461173282923,1,True,False,1.0,0,0.12799311835288274,0.006396131579656633,9.677347080020485,-0.06361787143034371,0.01421527893136075,7.950251870420614,1.292661919213753
10,0,10,86.7887824371584,1,True,False,1.0,0,0.2333225224525995,0.007518855965320929,12.150471239958621,-0.030870593199001553,0.12140275880753824,4.738263592712491,1.488960147681885
11,0,11,91.02334816285673,1,True,False,1.0,0,0.32657701738601885,0.002803673879597536,4.471859837958069,-0.04956499228944701,0.024535935090809632,2.6956204886166915,0.6602120338578445
12,0,12,-4221.360428458842,-1,False,False,0.8367846078591228,1401,0.32469240962586693,0.0013290667279240635,3.653604435063251,-0.10178682520923156,-0.039165185268994776,4.675365679643741,0.5439420079613834
13,0,13,72.98148874202533,1,True,False,1.0,0,0.32638055162634333,0.00629798660891297,10.536531596711399,-0.03644257710039113,0.11839374339595886,2.1014142066771004,1.0148888202713704
